,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_nn,polar_lh,polar_wtt,polar_shg,dTout_WL,V_static,V_dynamic
0,0,0,0,0,2021年11月25日09时00分00秒,1.0527604818344116,0.7344840168952942,0.0,492.1133728027344,0.204425,5.58207893371582,0.1136001944541931,15.424164772033691,11.751744270324709,14.238431930541992,13.43509006500244,0.0001840000040829,0.0001840000040829,6.316562652587891,7.34484052658081,21.59383010864257,6.022768974304199,11.017260551452637,5.141388416290283,15.424164772033691,6.7572526931762695,-79.9926528930664,0.0091810002923011,2.323417901992798,6.106010437011719,18.04872131347656,0.030963543583365,0.7344840168952942,1.728197686812457,0.1136001944541931,5.58207893371582,11.751744270324709,15.424164772033691,13.5879545211792,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.262264931930589,1.393664455554218,1.5388497370009344,1.485820761053814,0.0,1.2622003891133124,-1.2312368455299474
1,1,1,1,1,2021年11月25日09时00分20秒,1.0527604818344116,0.0,0.0330032482743263,492.1133728027344,0.204425,5.288285255432129,0.1136001944541931,15.717958450317385,11.751744270324709,14.238431930541992,13.43509006500244,0.0001840000040829,0.0001840000040829,6.610355854034424,7.34484052658081,21.59383010864257,6.022768974304199,11.017260551452637,5.141388416290283,15.424164772033691,6.7572526931762695,-79.9926528930664,0.0091810002923011,2.320969581604004,5.954216003417969,18.04872131347656,0.030963543583365,0.0,0.0,0.1136001944541931,5.288285255432129,11.751744270324709,15.717958450317385,13.734851360321048,0.0,0.204425,-0.7344840168952942,-1.728197686812457,0.0,0.1468968391418474,0.0001840000040829,0.0001840000040829,1.2623294761005308,1.2586203740235715,1.287499916885853,1.2586203740235715,0.1213839062503119,1.2624585684998169,-1.2314950249164518
2,2,2,2,2,2021年11月25日09时00分40秒,1.0527604818344116,0.0,0.011001082137227,492.1133728027344,0.204425,5.58207893371582,0.1136001944541931,15.424164772033691,11.457950592041016,14.200178146362305,13.43509006500244,0.0001840000040829,0.0001840000040829,6.610355854034424,7.34484052658081,21.59383010864257,6.022768974304199,11.017260551452637,5.288285255432129,15.57106113433838,7.051046371459961,-79.9926528930664,0.0091810002923011,2.320969581604004,6.257804870605469,18.04872131347656,0.030963543583365,0.0,0.0,0.1136001944541931,5.58207893371582,11.457950592041016,15.424164772033691,13.441057682037354,0.0,0.204425,0.0,0.0,0.0,-0.2937936782836932,0.0001840000040829,0.0001840000040829,1.2623294761005308,1.258878255185662,1.28902558745718,1.258878255185662,-0.0891098460741481,1.2623294761005308,-1.2313659325171658
3,3,3,3,3,2021年11月25日09时01分00秒,1.1017260551452637,0.0,0.0,492.1133728027344,0.204425,5.288285255432129,0.1136001944541931,15.424164772033691,11.457950592041016,14.200178146362305,13.43509006500244,0.0001840000040829,0.0001840000040829,6.316562652587891,7.34484052658081,21.59383010864257,6.022768974304199,11.017260551452637,5.141388416290283,15.57106113433838,6.7572526931762695,-79.9926528930664,0.0091810002923011,2.3197455406188965,6.106010437011719,18.04872131347656,0.0324037075042724,0.0,0.0,0.1136001944541931,5.288285255432129,11.457950592041016,15.424164772033691,13.441057682037354,0.0,0.204425,0.0,0.0,0.0014401639209074,0.0,0.0001840000040829,0.0001840000040829,1.2624585684998169,1.258878255185662,1.28902558745718,1.258878255185662,0.0194008395098901,1.2624585684998169,-1.2300548609955444
4,4,4,4,4,2021年11月25日09时01分20秒,1.126208782196045,0.0,0.0330032482743263,492.1133728027344,0.204425,5.58207893371582,0.1128167510032653,15.424164772033691,11.457950592041016,14.200178146362305,13.396836280822754,0.0001840000040829,0.0001840000040829,6.7572526931762695,7.34484052658081,21.59383010864257,5.8758721351623535,11.017260551452637,5.141388416290283,15.424164772033691,6.7572526931762695,-79.9926528930664,0.0091810002923011,2.314848661422729,6.257804870605469,18.04872131347656,0.0331237877116483,0.0,0.0,0.1128167510032653,5.58207893371582,11.457950592041016,15.424164772033691,13.441057682037354,0.0,0.204425,0.0,0.0,0.0007200802073759,0.0,0.0001840000040829,0.0001840000040829,1.2623294761005308,1.258878255185662,1.28902558745718,1.258878255185662,-0.0082159029309352,1.2623617485881016,-1.2292379608764532
5,5,5,5,5,2021年11月25日09时01分40秒,1.0527604818344116,2.203452110290528,0.0550054125487804,492.1133728027344,0.204425,5.58207893371582,0.1128167510032653,15.424164772033691,11.311054229736328,14.238431930541992,13.43509006500244,0.0001840000040829,0.0001840000040829,6.7572526931762695,7.34484052658081,21.59383010864257,6.022768974304199,11.017260551452637,5.141388416290283,15.57106113433838,6.7572526931762695,-79.9926528930664,0.0091810002923011,2.312400579452514,6.106010437011719,18.04872131347656,0.030963543583365,2.203452110290528,5.184593200683595,0.1128167510032653,5.58207893371582,11.311054229736328,15.424164772033691,13.36760950088501,0.0,0.204425,2.203452110290528,5.184593200683595,-0.0021602441282833,-0.0734481811523437,0.0001840000040829,0.0001840000040829,1.2623617485881016,1.4753818960156224,1.6532432479938892,1.5610217421145771,0.0298973551868932,1.262264931930589,-1.231301388347224
6,6,6,6,6,2021年11月25日09时02分00秒,1.1017260551452637,0.7344840168952942,0.0,492.1133728027344,0.204425,5.288285255432129,0.1136001944541931,15.424164772033691,11.751744270324709,14.238431930541992,13.43509006500244,0.0001840000040829,0.0001840000040829,6.610355854034424,7.34484052658081,21.300037384033203,5.8758721351623535,11.017260551452637,5.288285255432129,15.57106113433838,7.051046371459961,-79.9926528930664,0.0091810002923011,2.312400579452514,6.257804870605469,18.04872131347656,0.0324037075042724,0.7344840168952942,1.728197686812457,0.1136001944541931,5.288285255432129,11.751744270324709,15.424164772033691,13.5879545211792,0.0,0.204425,-1.4689680933952336,-3.4563955138711377,0.0014401639209074,0.2203450202941894,0.0001840000040829,0.0001840000040829,1.2623940216234897,1.393664455554218,1.5388497370009344,1.485820761053814,0.061214533213592,1.2624585684998169,-1.2300548609955444
7,7,7,7,7,2021年11月25日09时02分20秒,1.126208782196045,0.0,0.011001082137227,492.1133728027344,0.204425,5.58207893371582,0.1128167510032653,15.424164772033691,11.457950592041016,14.200178146362305,13.43509006500244,0.0001840000040829,0.0001840000040829,6.610355854034424,7.34484052658081,21.59383010864257,6.022768974304199,11.017260551452637,5.141388416290283,15.424164772033691,7.051046371459961,-79.9926528930664,0.0091810002923011,2.311176300048828,6.106010437011719,18.04872131347656,0.0331237877116483,0.0,0.0,0.1128167510032653,5.58207893371582,11.457950592041016,15.424164772033691,13.441057682037354,0.0,0.204425,-0.7344840168952942,-1.728197686812457,0.0007200802073759,-0.1468968391418457,0.0001840000040829,0.0001840000040829,1.2623294761005308,1.258878255185662,1.28902558745718,1.258878255185662,0.0273176202544753,1.2623617485881016,-1.2292379608764532
8,8,8,8,8,2021年11月25日09时02分40秒,1.1017260551452637,0.7344840168952942,0.0550054125487804,492.1133728027344,0.204425,5.288285255432129,0.1128167510032653,15.424164772033691,11.311054229736328,14.238431930541992,13.43509006500244,0.0001840000040829,0.0001840000040829,6.316562652587891,7.34484052658081,21.59383010864257,6.022768974304199,10.723466873168944,5.141388416290283,15.57106113433838,7.051046371459961,-79.9926528930664,0.0091810002923011,2.311176300048828,6.106010437011719,18.04872131347656,0.0324037075042724,0.7344840168952942,1.728197686812457,0.1128167510032653,5.288285255432129,11.311054229736328,15.424164772033691,13.36760950088501,0.0,0.204425,0.7344840168952942,1.728197686812457,-0.0007200802073759,-0.0734481811523437,0.0001840000040829,0.0001840000040829,1.26249084234084,1.39606254756365,1.5443845047019191,1.4883706360459907,-0.0196082630316176,1.2624585684998169,-1.2300548609955444
9,9,9,9,9,2021年11月25日09时03分00秒,1.1017260551452637,0.0,0.011001082137227,492.1133728027344,0.204425,5.141388416290283,0.1128167510032653,15.424164772033691,11.457950592041016,14.238431930541992,13.43509006500244,0.0001840000040829,0.0001840000040829,6.7572526931762695,7.34484052658081,21.59383010864257,5.8758721351623535,11.017260551452637,5.288285255432129,15.13037109375,6.7572526931762695,-79.9926528930664,0.0091810002923011,2.311176300048828,6.257804870605469,18.04872131347656,0.0324037075042724,0.0,0.0,0.1128167510032653,5.141388416290283,11.457950592041016,15.424164772033691,13.441057682037354,0.0,0.204425,-0.7344840168952942,-1.728197686812457,0.0,0.0734481811523437,0.0001840000040829,0.0001840000040829,1.2625231167298647,1.258878255185662,1.28902558745718,1.258878255185662,0.0189810182258867,1.2625231167298647,-1.2301194092255923
