,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_nn,polar_lh,polar_wtt,polar_shg,dTout_WL,V_static,V_dynamic
0,0,0,0,0,2021年10月14日09时30分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.158649444580078,0.1010650023818016,16.452442169189453,17.62761688232422,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.33382225036621,17.186925888061523,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.158649444580078,17.62761688232422,16.452442169189453,17.040029525756836,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2561071473836858,1.31044852750644,1.3822748128932312,1.3898555036703266,0.0,1.2561715641432105,-1.2559015347228488
1,1,1,1,1,2021年10月14日09时30分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.746234893798828,0.1010650023818016,16.452442169189453,17.33382225036621,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.53727531433105,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.746234893798828,17.33382225036621,16.452442169189453,16.893132209777832,0.0,0.204425,0.0,0.0,0.0,-0.1468973159790039,0.0001840000040829,0.0001840000040829,1.2559139066960272,1.3113723009826237,1.384882970225915,1.3911536863889264,-0.1186256148208997,1.255785085469068,-1.2555150560487063
2,2,2,2,2,2021年10月14日09时30分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.746234893798828,0.1010650023818016,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.186925888061523,17.186925888061523,16.452442169189453,19.53727531433105,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.746234893798828,17.921409606933594,16.452442169189453,17.186925888061523,0.0,0.204425,0.0,0.0,0.0,0.2937936782836914,0.0001840000040829,0.0001840000040829,1.255785085469068,1.3095373706979363,1.3796924821783385,1.388568167166272,0.0681613614611649,1.255849495214175,-1.2555794657938133
3,3,3,3,3,2021年10月14日09时31分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.158649444580078,0.1010650023818016,16.452442169189453,17.62761688232422,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.158649444580078,17.62761688232422,16.452442169189453,17.040029525756836,0.0,0.204425,0.0,0.0,0.0,-0.1468963623046875,0.0001840000040829,0.0001840000040829,1.2561071473836858,1.31044852750644,1.3822748128932312,1.3898555036703266,-0.0203846618316916,1.2560427323622771,-1.2557727029419155
4,4,4,4,4,2021年10月14日09时31分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.158649444580078,0.1010650023818016,16.452442169189453,17.921409606933594,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.158649444580078,17.921409606933594,16.452442169189453,17.186925888061523,0.0,0.204425,0.0,0.0,0.0,0.1468963623046875,0.0001840000040829,0.0001840000040829,1.2560427323622771,1.3095373706979363,1.3796924821783385,1.388568167166272,0.0380208686267415,1.2560427323622771,-1.2557727029419155
5,5,5,5,5,2021年10月14日09时31分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.452442169189453,0.1010650023818016,16.452442169189453,17.921409606933594,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.186925888061523,17.186925888061523,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.452442169189453,17.921409606933594,16.452442169189453,17.186925888061523,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2559139062778562,1.3095373706979363,1.3796924821783385,1.388568167166272,-0.0420922151096689,1.2560427327804653,-1.2557727033601036
6,6,6,6,6,2021年10月14日09时32分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.158649444580078,0.1010650023818016,16.452442169189453,17.33382225036621,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.36210060119629,17.62761688232422,16.89313316345215,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.158649444580078,17.33382225036621,16.452442169189453,16.893132209777832,0.0,0.204425,0.0,0.0,0.0,-0.2937936782836914,0.0001840000040829,0.0001840000040829,1.2561715641432103,1.3113723009826237,1.384882970225915,1.3911536863889264,-0.0871331079542869,1.2560427323622771,-1.2557727029419155
7,7,7,7,7,2021年10月14日09时32分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.746234893798828,0.1010650023818016,16.452442169189453,17.921409606933594,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,16.89313316345215,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.746234893798828,17.921409606933594,16.452442169189453,17.186925888061523,0.0,0.204425,0.0,0.0,0.0,0.2937936782836914,0.0001840000040829,0.0001840000040829,1.255785085469068,1.3095373706979363,1.3796924821783385,1.388568167166272,0.1312295113505115,1.2558172901768205,-1.2555472607564588
8,8,8,8,8,2021年10月14日09时32分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.452442169189453,0.1010650023818016,16.59933853149414,17.62761688232422,14.334067344665527,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.62761688232422,17.4807186126709,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.452442169189453,17.62761688232422,16.59933853149414,17.11347770690918,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001840000040829,0.0001840000040829,1.2559461123042663,1.309991386261297,1.3809804374785677,1.389210490143051,-0.0056524985499422,1.2560427327804653,-1.2557727033601036
9,9,9,9,9,2021年10月14日09时33分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,16.746234893798828,0.1010650023818016,16.452442169189453,17.33382225036621,14.372322082519531,14.850502014160156,0.0001840000040829,0.0001840000040829,17.186925888061523,18.655895233154297,17.33382225036621,17.4807186126709,16.89313316345215,16.452442169189453,19.83106803894043,17.62761688232422,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1010650023818016,16.746234893798828,17.33382225036621,16.452442169189453,16.893132209777832,0.0,0.204425,0.0,0.0,0.0,-0.2203454971313476,0.0001840000040829,0.0001840000040829,1.2559139066960272,1.3113723009826237,1.384882970225915,1.3911536863889264,-0.1430336406780128,1.255785085469068,-1.2555150560487063
