,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_nn,polar_lh,polar_wtt,polar_shg,dTout_WL,V_static,V_dynamic
0,0,0,0,0,2021年10月29日10时00分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,12.926918983459473,0.1566899269819259,12.780021667480469,14.39588737487793,15.003520011901855,12.976037979125977,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1566899269819259,12.926918983459473,14.39588737487793,12.780021667480469,13.5879545211792,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2590394416484656,1.3360168615793513,1.4510162635734534,1.4236147154806695,0.0,1.259039441439171,-1.2587694120188093
1,1,1,1,1,2021年10月29日10时00分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.51450538635254,0.1574733704328537,12.926918983459473,14.248991012573242,15.04177474975586,12.976037979125977,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.89313316345215,15.13037109375,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1574733704328537,13.51450538635254,14.248991012573242,12.926918983459473,13.587954998016356,0.0,0.204425,0.0,0.0,0.0,4.76837158203125e-07,0.0001840000040829,0.0001840000040829,1.258781547353569,1.3360168574117186,1.4510162529078705,1.4236147102871457,0.0208249836644061,1.258781547353569,-1.2585115179332074
2,2,2,2,2,2021年10月29日10时00分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1582568287849426,12.926918983459473,14.248991012573242,15.099154472351074,13.01429271697998,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1582568287849426,13.220711708068848,14.248991012573242,12.926918983459473,13.587954998016356,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2589104919363914,1.3360168574117186,1.4510162529078705,1.4236147102871457,0.0292447151589847,1.2589104919363914,-1.2586404625160297
3,3,3,3,3,2021年10月29日10时01分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1586485505104065,12.926918983459473,14.248991012573242,15.137411117553713,13.052546501159668,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.220711708068848,13.955196380615234,16.305545806884766,15.13037109375,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1586485505104065,13.220711708068848,14.248991012573242,12.926918983459473,13.587954998016356,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2589104919363914,1.3360168574117186,1.4510162529078705,1.4236147102871457,0.0445508086785988,1.2588782553949458,-1.258608225974584
4,4,4,4,4,2021年10月29日10时01分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1594319939613342,12.926918983459473,14.39588737487793,15.194791793823242,13.071673393249512,0.0001840000040829,0.0001840000040829,13.51450538635254,15.86485481262207,13.955196380615234,14.983474731445312,13.220711708068848,13.955196380615234,16.89313316345215,15.13037109375,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1594319939613342,13.220711708068848,14.39588737487793,12.926918983459473,13.6614031791687,0.0,0.204425,0.0,0.0,0.0,0.0734481811523437,0.0001840000040829,0.0001840000040829,1.2588782553949458,1.335377290096179,1.4493776161162897,1.422816720644438,0.0499141555267268,1.2588782553949458,-1.258608225974584
5,5,5,5,5,2021年10月29日10时01分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.51450538635254,0.1602154523134231,12.926918983459473,14.39588737487793,15.23304557800293,13.109928131103516,0.0001840000040829,0.0001840000040829,13.51450538635254,15.86485481262207,14.248991012573242,14.983474731445312,13.220711708068848,13.955196380615234,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1602154523134231,13.51450538635254,14.39588737487793,12.926918983459473,13.6614031791687,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2587493121463282,1.335377290096179,1.4493776161162897,1.422816720644438,0.0165302970388605,1.2588460191871145,-1.2585759897667528
6,6,6,6,6,2021年10月29日10时02分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.160607174038887,12.926918983459473,13.955196380615234,15.271300315856934,13.148181915283203,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.160607174038887,13.220711708068848,13.955196380615234,12.926918983459473,13.441057682037354,0.0,0.204425,0.0,0.0,0.0,-0.2203454971313476,0.0001840000040829,0.0001840000040829,1.2589749664388763,1.3373103783098843,1.4543188883440932,1.425222651129231,-0.0063190400277637,1.2589104919363914,-1.2586404625160297
7,7,7,7,7,2021年10月29日10时02分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1613906323909759,12.926918983459473,14.248991012573242,15.290428161621094,13.186436653137209,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.220711708068848,13.955196380615234,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1613906323909759,13.220711708068848,14.248991012573242,12.926918983459473,13.587954998016356,0.0,0.204425,0.0,0.0,0.0,0.1468973159790039,0.0001840000040829,0.0001840000040829,1.2589104919363914,1.3360168574117186,1.4510162529078705,1.4236147102871457,0.0742056593134616,1.2588137833128545,-1.2585437538924928
8,8,8,8,8,2021年10月29日10时02分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.51450538635254,0.1621740758419037,13.220711708068848,14.39588737487793,15.366936683654783,13.20556354522705,0.0001840000040829,0.0001840000040829,12.926918983459473,15.86485481262207,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1621740758419037,13.51450538635254,14.39588737487793,13.220711708068848,13.808299541473389,0.0,0.204425,0.0,0.0,0.0,0.2203445434570312,0.0001840000040829,0.0001840000040829,1.2586848427321335,1.334112313100136,1.446125399954931,1.4212325056269548,0.119161694362905,1.258781547353569,-1.2585115179332074
9,9,9,9,9,2021年10月29日10时03分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.51450538635254,0.1629575341939926,12.926918983459473,14.248991012573242,15.386063575744627,13.20556354522705,0.0001840000040829,0.0001840000040829,13.220711708068848,15.86485481262207,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.89313316345215,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1629575341939926,13.51450538635254,14.248991012573242,12.926918983459473,13.587954998016356,0.0,0.204425,0.0,0.0,0.0,-0.2203445434570312,0.0001840000040829,0.0001840000040829,1.258781547353569,1.3360168574117186,1.4510162529078705,1.4236147102871457,-0.1120250476912207,1.2587170772725307,-1.258447047852169
10,10,10,10,10,2021年10月29日10时03分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.51450538635254,0.1633492559194564,13.220711708068848,14.248991012573242,15.462573051452637,13.243819236755373,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,13.955196380615234,14.983474731445312,13.220711708068848,13.955196380615234,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1633492559194564,13.51450538635254,14.248991012573242,13.220711708068848,13.734851360321043,0.0,0.204425,0.0,0.0,0.0,0.1468963623046875,0.0001840000040829,0.0001840000040829,1.258717077272531,1.334742456492722,1.4477473503509275,1.4220226646724956,0.1538554323482035,1.2586848427321335,-1.2584148133117719
11,11,11,11,11,2021年10月29日10时03分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.1641326993703842,13.220711708068848,14.39588737487793,15.481698989868164,13.282072067260742,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,14.983474731445312,13.51450538635254,13.955196380615234,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1641326993703842,13.80829906463623,14.39588737487793,13.220711708068848,13.808299541473389,0.0,0.204425,0.0,0.0,0.0,0.0734481811523437,0.0001840000040829,0.0001840000040829,1.258555907485174,1.334112313100136,1.446125399954931,1.4212325056269548,-0.0090404641131129,1.258555907485174,-1.2582858780648123
12,12,12,12,12,2021年10月29日10时04分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1649161428213119,13.220711708068848,14.39588737487793,15.558207511901855,13.301198959350586,0.0001840000040829,0.0001840000040829,13.51450538635254,15.86485481262207,14.248991012573242,14.983474731445312,13.220711708068848,13.955196380615234,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1649161428213119,13.220711708068848,14.39588737487793,13.220711708068848,13.808299541473389,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.2588137833128543,1.334112313100136,1.446125399954931,1.4212325056269548,0.047302976041248,1.2588460191871145,-1.2585759897667528
